Year,Day of Week,Month,Day,Time (ET),Game Type,Home Team,Away Team,Arena,City,State,Attendance,Date
2022,Saturday,May,21,3:00 PM,Regular season,Las Vegas Aces,Phoenix Mercury,Michelob ULTRA Arena,Las Vegas,NV,5572,2022-05-21
2022,Saturday,May,21,8:00 PM,Regular season,Dallas Wings,Minnesota Lynx,College Park Center,Arlington,TX,3813,2022-05-21
2022,Sunday,May,22,2:00 PM,Regular season,Indiana Fever,Connecticut Sun,Gainbridge Fieldhouse,Indianapolis,IN,2612,2022-05-22
2022,Sunday,May,22,3:00 PM,Regular season,Washington Mystics,Chicago Sky,Entertainment and Sports Arena,Washington,DC,4200,2022-05-22
2022,Monday,May,23,10:00 PM,Regular season,Las Vegas Aces,Los Angeles Sparks,Michelob ULTRA Arena,Las Vegas,NV,4092,2022-05-23
2022,Tuesday,May,24,7:00 PM,Regular season,Connecticut Sun,Dallas Wings,Mohegan Sun Arena,Uncasville,CT,4180,2022-05-24
2022,Tuesday,May,24,7:00 PM,Regular season,Washington Mystics,Atlanta Dream,Entertainment and Sports Arena,Washington,DC,2687,2022-05-24
2022,Tuesday,May,24,8:00 PM,Regular season,Chicago Sky,Indiana Fever,Wintrust Arena,Chicago,IL,7741,2022-05-24
2022,Tuesday,May,24,8:00 PM,Regular season,Minnesota Lynx,New York Liberty,Target Center,Minneapolis,MN,6104,2022-05-24
2022,Wednesday,May,25,6:00 AM,Regular season,Los Angeles Sparks,Phoenix Mercury,Crypto.com Arena,Los Angeles,CA,4020,2022-05-25
2022,Thursday,May,26,7:00 PM,Regular season,Connecticut Sun,Dallas Wings,Mohegan Sun Arena,Uncasville,CT,4308,2022-05-26
2022,Friday,May,27,7:00 PM,Regular season,Indiana Fever,Los Angeles Sparks,Indiana Farmers Coliseum,Indianapolis,IN,1417,2022-05-27
2022,Friday,May,27,10:00 PM,Regular season,Seattle Storm,New York Liberty,Climate Pledge Arena,Seattle,WA,10001,2022-05-27
2022,Saturday,May,28,3:00 PM,Regular season,Chicago Sky,Las Vegas Aces,Wintrust Arena,Chicago,IL,6812,2022-05-28
2022,Saturday,May,28,7:00 PM,Regular season,Connecticut Sun,Washington Mystics,Mohegan Sun Arena,Uncasville,CT,5482,2022-05-28
2022,Sunday,May,29,12:00 PM,Regular season,Atlanta Dream,Phoenix Mercury,Gateway Center Arena @ College Park,Atlanta,GA,3138,2022-05-29
2022,Sunday,May,29,6:00 PM,Regular season,Seattle Storm,New York Liberty,Climate Pledge Arena,Seattle,WA,10228,2022-05-29
2022,Sunday,May,29,7:00 PM,Regular season,Minnesota Lynx,Los Angeles Sparks,Target Center,Minneapolis,MN,7234,2022-05-29
2022,Tuesday,May,31,7:00 PM,Regular season,Indiana Fever,Washington Mystics,Indiana Farmers Coliseum,Indianapolis,IN,1009,2022-05-31
2022,Tuesday,May,31,7:00 PM,Regular season,Chicago Sky,Phoenix Mercury,Wintrust Arena,Chicago,IL,5133,2022-05-31
