Year,Day of Week,Month,Day,Time (ET),Game Type,Home Team,Away Team,Arena,City,State,Attendance,Date
2022,Saturday,August,6,8:00 PM,Regular season,Dallas Wings,Indiana Fever,College Park Center,Arlington,TX,4184,2022-08-06
2022,Saturday,August,6,10:00 PM,Regular season,Phoenix Mercury,New York Liberty,Footprint Center,Phoenix,AZ,11724,2022-08-06
2022,Sunday,August,7,1:00 PM,Regular season,Chicago Sky,Connecticut Sun,Wintrust Arena,Chicago,IL,8224,2022-08-07
2022,Sunday,August,7,3:00 PM,Regular season,Washington Mystics,Los Angeles Sparks,Entertainment and Sports Arena,Washington,DC,4200,2022-08-07
2022,Sunday,August,7,3:00 PM,Regular season,Seattle Storm,Las Vegas Aces,Climate Pledge Arena,Seattle,WA,18100,2022-08-07
2022,Sunday,August,7,7:00 PM,Regular season,Minnesota Lynx,Atlanta Dream,Target Center,Minneapolis,MN,9421,2022-08-07
2022,Monday,August,8,8:00 PM,Regular season,Dallas Wings,New York Liberty,College Park Center,Arlington,TX,3036,2022-08-08
2022,Tuesday,August,9,8:00 PM,Regular season,Chicago Sky,Seattle Storm,Wintrust Arena,Chicago,IL,9314,2022-08-09
2022,Tuesday,August,9,10:00 PM,Regular season,Las Vegas Aces,Atlanta Dream,Michelob ULTRA Arena,Las Vegas,NV,5151,2022-08-09
2022,Tuesday,August,9,6:00 AM,Regular season,Los Angeles Sparks,Connecticut Sun,Crypto.com Arena,Los Angeles,CA,5789,2022-08-09
